arrival_rate,num_servers,service_time,simulation_time,queue_limit,avg_response_time,requests_served,dropped_requests,load_intensity,drop_rate
4.197133992289419,7,0.11750752865586686,1257,25,0.11750752865586686,5334,0,0.07045640612449454,0.0
2.5884401431792576,10,0.22545804683301113,811,14,0.22545804683301113,2040,0,0.0583584659025355,0.0
4.441286509481408,3,0.1262786872892628,1289,28,0.1272354139526699,5909,0,0.18694661009760807,0.0
3.3833314998913693,8,0.7539674778110831,840,25,0.7563888324149636,2876,0,0.31886523969648556,0.0
1.19349587915584,3,0.6457382038078213,844,27,0.6524214411867949,1028,0,0.2568952950860429,0.0
4.263457633716624,3,0.7055132925578929,832,21,3.244160750135709,3338,142,1.002642010948166,0.04080459770114943
1.126669395845282,6,0.39121040017872777,1479,49,0.39121040017872777,1652,0,0.07346079753629305,0.0
3.098830061210564,9,0.5057926124178919,1555,31,0.5057926124178919,4849,0,0.1741517057887541,0.0
2.664695040539508,7,0.6133202910124801,1722,49,0.6133268021256709,4485,0,0.2334730768176005,0.0
2.9376965273192988,9,0.6586497644140029,1024,39,0.6586610639266988,3038,0,0.21499034729318786,0.0
1.7852116069984167,5,0.1790604344782517,1585,23,0.1790604344782517,2975,0,0.06393215319695089,0.0
1.302605971420432,6,0.4407142318222874,1797,17,0.4407142318222874,2327,0,0.09567949834361338,0.0
4.720096893999138,4,0.1650278120068448,963,40,0.16559154503987225,4563,0,0.19473681571924542,0.0
5.180830980140485,4,0.27612611146211535,1112,40,0.28332595277668315,5841,0,0.35764067817216294,0.0
1.799923607679713,10,0.1351392201977527,999,40,0.1351392201977527,1792,0,0.024324027275736217,0.0
5.996152815612832,6,0.5932026907203186,867,16,0.6522480038396158,5287,0,0.5928223306986243,0.0
4.830426741315662,7,0.4208868149985855,818,15,0.42126518090408155,3959,0,0.2904375608909065,0.0
4.5098842661445016,4,0.21590536061707627,1419,12,0.21680583720506796,6227,0,0.24342704720580174,0.0
5.409644153949258,4,0.5674948873106094,1490,18,0.8198188295050797,8010,1,0.7674863498839827,0.00012482836100362001
4.3100192883460275,3,0.2312121095815434,1618,23,0.24243695772320986,6966,0,0.3321762173318758,0.0
4.916339483468859,5,0.4540810548883506,1326,33,0.4660578191209122,6387,0,0.44648332376855765,0.0
5.497605478993512,5,0.19615578561092223,1585,35,0.19629530322189195,8637,0,0.21567742434217654,0.0
3.1456419884891726,10,0.17869971398987972,870,10,0.17869971398987972,2742,0,0.05621253236575716,0.0
1.068769185891247,7,0.7930017296437011,1786,35,0.7930017296437011,1919,0,0.1210765447145213,0.0
2.799883344860964,7,0.7369628258834648,1515,25,0.7375363445784194,4221,0,0.29477284885325483,0.0
3.0547808384889024,3,0.784764094956024,803,45,1.7851683197771946,2445,0,0.7990941066685825,0.0
2.797370475083345,7,0.5061132514687604,1563,33,0.5061132514687604,4506,0,0.20225518095816325,0.0
1.8859929753000795,5,0.6861680211090352,1210,46,0.6873533915925726,2250,0,0.2588216135374394,0.0
2.855123815084822,5,0.7270826631051293,1523,26,0.7465962245276102,4372,0,0.41518220539334977,0.0
2.8458089680531824,3,0.6707237243616742,1805,23,0.9251095701075369,5099,0,0.636250529958161,0.0
1.198469674169302,10,0.5534705177369008,1295,37,0.5534705177369008,1496,0,0.06633176310544583,0.0
5.072872969834555,4,0.29044676553823323,1137,11,0.2993862229675318,5767,0,0.3683498865186945,0.0
3.8837134124980213,3,0.6018499614323495,1930,14,1.1461504316231432,7530,17,0.7791375891754108,0.0022525506823903537
2.710261973962877,10,0.1562532863058338,1237,10,0.1562532863058338,3289,0,0.04234873401814357,0.0
5.6919429704705955,5,0.13409630326407054,1614,50,0.1341119134330429,9083,0,0.15265370214600388,0.0
2.279297013495153,4,0.5582372842288026,1139,25,0.5699688574207067,2622,0,0.31809714369108866,0.0
4.997805740370305,10,0.621037059391285,1012,30,0.6210471004409023,5088,0,0.3103822580408458,0.0
2.648241738406963,3,0.11734927406317146,1570,29,0.11738947122972074,4076,0,0.10358974851528278,0.0
2.9082766901308172,4,0.7675897685802552,996,50,0.8815638743103975,2876,0,0.5580908578862162,0.0
5.692006600694557,8,0.5618250764414292,1382,16,0.5634842611804982,7995,0,0.3997390054425424,0.0
1.6003750143083897,7,0.6202782029781091,1008,30,0.6202782029781091,1624,0,0.14181110542375336,0.0
1.587023940266993,6,0.4491473014485923,1502,29,0.4491473014485923,2439,0,0.11880125335087198,0.0
5.863139105578054,10,0.3955212205936598,831,34,0.3955231201062325,4873,0,0.23189959355486506,0.0
5.9459711036653715,3,0.33819272108223863,1595,29,0.4897408753242423,9307,0,0.6702947156749844,0.0
2.61853070191887,10,0.4778243826990103,1048,41,0.4778243826990103,2709,0,0.12511978162227902,0.0
1.1044409367262245,7,0.7889748444113748,1787,39,0.7889748444113748,2030,0,0.12448230231644657,0.0
3.9931552689876275,4,0.4168726453622973,1863,38,0.4305699967445008,7499,0,0.416159300081317,0.0
2.1531608386147463,9,0.29412006154240194,816,46,0.29412006154240194,1691,0,0.07036531092933988,0.0
2.4500033201361036,6,0.2956088294243074,1176,47,0.295609982314306,2846,0,0.1207071022585167,0.0
1.1571614495016442,6,0.6193969705363171,1138,11,0.6193969705363171,1394,0,0.11945704937378866,0.0
4.019262751524273,10,0.37547278751748825,1399,38,0.3754749781085741,5696,0,0.15091237890800285,0.0
5.247003683741624,10,0.7368972200166478,970,12,0.738245955099642,5106,0,0.3866502427966313,0.0
4.06623192081563,6,0.2819094699307295,963,50,0.2820998198782428,3901,0,0.19105154756875775,0.0
5.857210109521927,9,0.5937266158125359,1031,47,0.5950268157574974,6110,0,0.38639794849215847,0.0
2.6642620339637477,3,0.685911869589763,1380,12,0.9800727124931131,3647,11,0.6091496509310329,0.0030071077091306723
5.202129629677157,10,0.34708006819000214,1834,26,0.34708006819000214,9483,0,0.18055555066015783,0.0
4.299403365736707,9,0.16450433248950913,1708,19,0.16450433248950913,7227,0,0.07858560897596287,0.0
5.500678026340692,6,0.6499909191010255,985,42,0.6970127044468136,5293,0,0.5958984610033335,0.0
3.0734257119226207,6,0.18277798777131526,1210,42,0.18277798777131526,3682,0,0.09362576119830644,0.0
2.0299887760755393,3,0.6231747445488489,1527,16,0.659854119331931,3024,0,0.4216792456559682,0.0
